SupplierID,Name,Location,Contact
1,Supplier 1,"Chicago, IL",(912) 555-3780
2,Supplier 2,"Chicago, IL",(774) 555-2389
3,Supplier 3,"Miami, FL",(390) 555-9445
4,Supplier 4,"Dallas, TX",(779) 555-6491
5,Supplier 5,"Dallas, TX",(195) 555-4848
6,,"Dallas, TX",(788) 555-6085
7,Supplier 7,Dallas- TX,(330) 555-4262
4,Supplier 4,"Dallas, TX",(779) 555-6491
9,Supplier 9,"Chicago, IL",(147) 555-5011
10,Supplier 10,"San Diego, CA",(586) 555-2193
11,Supplier 11,"Seattle, WA",(566) 555-7790
12,Supplier 12,"Chicago, IL",(744) 555-4185
13,Supplier 13,"Chicago, IL",(835) 555-7291
14,Supplier 14,"Chicago, IL",(606) 555-7547
15,Supplier 15,"Dallas, TX",(349) 555-3417
16,Supplier 16,"Dallas, TX",(771) 555-1090
17,Supplier 17,"San Diego, CA",(868) 555-2746
18,Supplier 18,"San Diego, CA",(897) 555-7965
19,Supplier 19,"Chicago, IL",(324) 555-3881
20,Supplier 20,"San Diego, CA",(923) 555-9486
21,Supplier 21,"Dallas, TX",(575) 555-1822
22,Supplier 22,"San Diego, CA",(670) 555-5082
23,Supplier 23,"Seattle, WA",(968) 555-2988
24,Supplier 24,"Dallas, TX",(567) 555-3184
25,Supplier 25,"Seattle, WA",(920) 555-8612
26,Supplier 26,"San Diego, CA",(783) 555-9702
27,Supplier 27,"Miami, FL",(672) 555-6198
28,Supplier 28,"Chicago, IL",(873) 555-8251
29,Supplier 29,"Dallas, TX",(727) 555-9270
30,Supplier 30,"Seattle, WA",(536) 555-9976
31,Supplier 31,"Miami, FL",(556) 555-3607
32,Supplier 32,"Miami, FL",(861) 555-8777
33,Supplier 33,"Dallas, TX",(560) 555-5246
34,Supplier 34,"Dallas, TX",(869) 555-5050
35,Supplier 35,"Miami, FL",(960) 555-5543
36,Supplier 36,"Chicago, IL",(884) 555-9540
37,Supplier 37,"Chicago, IL",(596) 555-4919
38,Supplier 38,"Seattle, WA",(381) 555-8206
39,Supplier 39,"Chicago, IL",(179) 555-5681
40,Supplier 40,"Miami, FL",(340) 555-5451
41,Supplier 41,"Miami, FL",(443) 555-6238
